ResortName,PassAffiliation,Latitude,Longitude
Sahalie Ski Club,,38.9071923,-77.0368707
Sitzmark Ski Hill,,48.8639216,-119.165055
Stevens Pass,Epic,47.7462223,-121.0859328
Snoqualmie: Summit,Ikon,47.4245012,-121.4161257
White Pass,"Indy, Powder Alliance",46.6387257,-121.3895281
Canaan Valley,Indy,39.13483,-79.4044928
Oglebay Ski Resort,,40.1015149,-80.6696406
Silver Creek (Snowshoe),Ikon,38.4405539,-79.9892094
Snowshoe/Western Territory,Ikon,38.4132303,-79.9975177
Timberline Mountain,,39.042453,-79.39903
Winterplace,Indy,37.595649,-81.1197612
Alpine Valley Resort,,42.7358247,-88.4280499
Ausblick Ski Club,,43.1347222,-88.2644444
Blackhawk Ski Club,,43.0823278,-89.570179
Bruce Mound,Indy,44.4438509,-90.7923656
Camp 10 Ski Area,,45.5491829,-89.5029403
Cascade Mountain,,43.5037245,-89.5172569
Christie Mountain,Indy,45.5090925,-91.3808238
Christmas Mountain Village Ski Resort,,43.609581,-89.861353
Crystal Ridge,"Indy, Freedom",50.735255,-113.9543253
Devil's Head,,43.4180036,-89.6268972
Fox Hill Ski Area,,43.7844397,-88.7878678
Grand Geneva (Mountain Top),,42.6124188,-88.3861443
Granite Peak Ski Area,Indy,44.929236,-89.683162
Heiliger Huegel Ski Club,,43.2521171,-88.3111343
Kettlebowl,,45.2718886,-88.9014189
Keyes Peak,,45.8957901,-88.2993698
Little Switzerland,"Indy, Freedom",43.3379806,-88.2789411
Mount Ashwabay,,46.7772767,-90.896142
Mount La Crosse,,43.74347,-91.182726
Mont du Lac Resort,,46.651616,-92.2843354
Nordic Mountain,"Indy, Freedom",44.1214576,-89.1812815
Nutt Hill Ski Area,,43.7505713,-87.9906017
Paul Bunyan Ski Hill,Indy Allied,45.3255767,-88.5242538
Pinehurst Park,,44.8529254,-91.453135
Powers Bluff County Park,,44.5261709,-90.0659573
Standing Rocks Park,,44.4310915,-89.4014738
Sunburst,,43.493936,-88.224007
Sunset Hill at Forest Springs,,43.7844397,-88.7878678
Triangle Sports Area,,44.510113,-87.95075
Trollhaugen,Indy,45.3513159,-92.6180935
Tyrol Basin,Indy,43.0445285,-89.7841088
Whitecap Mountains,,46.4069352,-90.3969777
Whitetail Ridge,,41.6117275,-88.370559
Wilmot,Epic,42.5130426,-88.1825133
Winter Park (Keewaunee ),,44.459461,-87.559558
Antelope Butte Mountain Recreation Area,Indy,44.6124452,-107.5145248
Beartooth Basin,,44.9751148,-109.4347501
Meadowlark Ski Area and Lodge,Indy,44.1739654,-107.213684
Grand Targhee,Mountain Collective,43.7835908,-110.9464028
Hogadon Basin,,42.7452867,-106.3389955
Jackson Hole,"Ikon, Mountain Collective",43.612255,-110.7054295
Pine Creek Ski Resort,,42.1029457,-110.8287957
Sleeping Giant Ski Area,,44.4929236,-109.9394434
Snow King Mountain,"Indy, Powder Alliance",43.4728087,-110.7560353
Snowy Range,,41.3412218,-106.1835168
White Pine Ski Area,Indy,42.9778494,-109.7586597
Banff Sunshine,"Ikon, Mountain Collective",51.0785162,-115.7764617
Castle Mountain Resort,"Indy, Powder Alliance",49.3191188,-114.4125829
Lake Louise,"Ikon, Mountain Collective",51.4253705,-116.1772552
Marmot Basin,Mountain Collective,52.8011121,-118.0831592
Mt. Norquay,Ikon,51.2053287,-115.6067986
Nakiska,Epic,50.9427038,-115.1510985
Pass Powderkeg Ski Area,Indy,49.6026978,-114.4447799
Apex Mountain Resort,Indy,49.4991381,-119.5937077
Baldy Mountain Resort,Indy,49.1528412,-119.2364219
Big White Ski Resort,Indy,56.130366,-106.346771
Cypress Mountain,Ikon,49.3388888,-122.8077777
Fairmont Hot Springs,Indy,46.0429809,-112.8100362
Fernie,Epic,49.5040452,-115.063065
Hudson Bay Mountain,Indy,54.8116666,-127.3397222
Kicking Horse Mountain Resort,Epic,51.2975688,-117.0482516
Kimberley Alpine Resort,Epic,49.6878857,-116.0048143
Manning Park,Indy,49.064647,-120.781581
Mount Washington Alpine,Indy,49.7413173,-125.3030741
Panorama Moutain Resort,"Ikon, Mountain Collective",50.4602801,-116.2380671
Phoenix Mountain,Indy,33.4483771,-112.0740373
Red Mountain Resort,Ikon,49.1024147,-117.8194705
Revelstoke,"Ikon, Mountain Collective",50.998115,-118.195672
Sasquatch Mountain Resort,Indy,49.379918,-121.9354691
Shames Mountain,Indy,54.5154929,-128.5997466
Silver Star Mountain,,50.3694444,-119.0636111
Sun Peaks,"Ikon, Mountain Collective",50.8815578,-119.8972041
Whistler Blackcomb,Epic,50.1161686,-122.9535117
Ski Cape Smokey,Indy,46.627645,-60.421958
